amount,payment_method,hour,day_of_week,account_age_days,total_transactions,avg_transaction_amount,failed_transactions,previous_fraud_count,transactions_last_5min,transactions_last_1hour,transactions_last_24hours,amount_last_1hour,time_since_last_transaction,new_receiver,amount_ratio,velocity_5min_ratio,fraud
1105.32,UPI,11,3,161,75,1039.38,0,0,1,2,7,1452.71,3641.2,0,1.0624,0.125,0
1679.35,UPI,2,3,1167,61,1420.44,1,0,1,4,13,6900.69,795.88,0,1.1814,0.0714,0
802.37,ACCOUNT,8,0,992,66,864.64,0,0,1,1,5,576.54,8733.38,0,0.9269,0.1667,0
600.29,ACCOUNT,7,2,675,70,832.23,1,0,0,1,3,540.46,5676.52,0,0.7204,0.0,0
242.12,ACCOUNT,20,4,666,55,350.11,1,0,1,2,7,836.48,1081.5,1,0.6896,0.125,0
468.06,ACCOUNT,1,3,1292,59,676.95,2,0,1,2,6,1364.59,1551.74,0,0.6904,0.1429,0
787.38,ACCOUNT,20,4,156,58,679.98,0,0,1,3,4,1309.0,2138.59,0,1.1562,0.2,0
1272.51,UPI,16,6,1055,60,840.89,1,0,1,1,6,785.25,1448.99,0,1.5115,0.1429,0
272.97,ACCOUNT,21,5,326,64,232.43,4,0,0,1,6,322.6,2029.81,0,1.1694,0.0,0
905.3,UPI,23,0,168,57,714.57,1,0,0,2,4,1985.77,262.14,1,1.2651,0.0,0
401.9,ACCOUNT,17,2,803,68,414.62,0,0,0,0,2,0.0,523.76,0,0.967,0.0,0
786.32,ACCOUNT,13,5,1464,49,379.21,1,0,0,1,4,466.13,1780.24,0,2.0681,0.0,0
1624.12,UPI,9,4,1111,80,1278.87,1,0,0,0,6,0.0,30.23,1,1.269,0.0,0
305.13,ACCOUNT,22,5,1148,57,383.52,0,1,1,2,4,604.02,1522.99,0,0.7935,0.2,0
320.54,UPI,13,1,1084,75,328.48,1,0,7,5,28,1642.39,2156.33,0,0.9729,0.2414,0
401.32,UPI,20,0,1185,72,626.93,1,0,1,1,5,796.59,1957.05,1,0.6391,0.1667,0
13246.01,UPI,11,2,784,47,1576.46,0,0,0,1,4,1503.08,853.8,0,8.3971,0.0,0
289.33,UPI,22,6,218,60,313.0,0,0,0,1,9,243.98,3634.8,1,0.9214,0.0,0
631.16,UPI,22,5,1264,51,684.85,0,0,0,1,3,811.99,9597.97,0,0.9203,0.0,0
427.88,UPI,19,5,692,51,704.72,1,0,0,0,2,0.0,10377.39,0,0.6063,0.0,0
785.88,ACCOUNT,16,1,765,65,757.35,1,0,1,1,6,1000.73,359.33,1,1.0363,0.1429,0
600.82,UPI,17,1,575,62,614.02,0,0,0,1,4,759.38,5535.98,0,0.9769,0.0,0
981.06,UPI,11,3,298,69,932.65,3,0,0,1,5,975.95,2182.52,1,1.0508,0.0,0
829.35,UPI,20,3,1392,75,737.79,0,0,0,0,1,0.0,1319.52,0,1.1226,0.0,0
243.53,ACCOUNT,6,4,1178,46,650.76,1,0,0,1,6,420.92,3295.98,0,0.3737,0.0,0
451.24,ACCOUNT,22,1,976,73,306.73,2,0,2,2,6,376.69,509.76,0,1.4663,0.2857,0
894.59,ACCOUNT,18,3,621,64,431.45,1,0,0,1,4,328.25,2712.17,1,2.0687,0.0,0
1087.68,ACCOUNT,3,4,1239,59,1137.59,0,1,0,0,1,0.0,4958.87,1,0.9553,0.0,0
617.86,ACCOUNT,12,5,831,72,418.23,2,0,1,1,6,376.73,2075.43,0,1.4738,0.1429,0
1684.81,ACCOUNT,18,4,681,61,786.42,3,0,0,0,5,0.0,4457.95,1,2.1396,0.0,1
740.13,UPI,22,1,692,61,1011.99,0,0,0,0,3,0.0,8898.62,1,0.7306,0.0,0
415.19,UPI,20,4,364,67,534.47,0,0,0,2,4,1262.06,696.61,0,0.7754,0.0,0
568.26,UPI,19,5,165,64,551.75,1,0,0,0,3,0.0,3510.01,0,1.0281,0.0,0
1279.4,UPI,8,2,845,52,926.03,3,0,0,0,3,0.0,3839.02,0,1.3801,0.0,0
395.44,UPI,6,5,1335,49,461.94,0,0,0,2,7,572.89,4476.8,0,0.8542,0.0,0
397.99,ACCOUNT,13,2,123,59,270.85,0,0,1,2,4,464.02,177.09,0,1.464,0.2,0
536.05,UPI,23,4,1291,54,638.75,2,0,1,1,6,769.88,11665.19,1,0.8379,0.1429,0
1636.13,ACCOUNT,2,6,1246,58,1640.11,0,0,1,3,8,3666.68,519.19,1,0.997,0.1111,0
1180.3,ACCOUNT,7,2,26,65,357.3,2,0,2,2,8,839.24,1201.74,1,3.2941,0.2222,1
1550.12,UPI,13,1,958,58,952.12,1,0,0,0,5,0.0,2964.89,1,1.6264,0.0,0
827.55,UPI,3,4,272,67,1236.56,1,0,0,2,7,2054.74,7991.14,1,0.6687,0.0,0
1130.23,ACCOUNT,9,3,1144,66,444.58,3,0,1,2,6,855.68,606.65,0,2.5365,0.1429,0
451.42,UPI,18,2,1059,60,520.99,1,0,0,0,2,0.0,8604.0,0,0.8648,0.0,0
302.45,ACCOUNT,9,2,551,70,286.67,1,0,2,5,8,1783.16,2503.91,0,1.0514,0.2222,0
853.94,ACCOUNT,3,3,129,63,805.29,0,0,0,0,6,0.0,6405.32,0,1.0591,0.0,0
308.31,ACCOUNT,14,0,1456,53,264.77,0,0,1,1,4,188.15,1567.63,0,1.1601,0.2,0
